State,County,Female life expectancy (years),Male life expectancy (years)
Tennessee,Fayette County,79.26,74.28
Tennessee,Fentress County,76.68,69.96
Tennessee,Franklin County,79.02,73.76
Tennessee,Gibson County,76.12,70.13
Tennessee,Giles County,78.57,72.39
Tennessee,Grainger County,76.75,71.75
Tennessee,Greene County,77.67,71.88
Tennessee,Grundy County,76.82,68.86
Tennessee,Hamblen County,77.42,72.4
Tennessee,Hamilton County,79.82,74.47
Tennessee,Hancock County,76.75,71.75
Tennessee,Hardeman County,76.11,72.16
Tennessee,Hardin County,77.97,71.66
Tennessee,Hawkins County,77.39,72.37
Tennessee,Haywood County,77.3,70.54
Tennessee,Henderson County,77.37,72.18
Tennessee,Henry County,77.84,70.62
Tennessee,Hickman County,78.82,72.51
Tennessee,Houston County,79.04,71.22
Tennessee,Humphreys County,78.21,73.15
Tennessee,Jackson County,77.15,72.19
Tennessee,Jefferson County,78.09,72.87
Tennessee,Johnson County,77.51,72.71
Tennessee,Knox County,79.59,73.88
Tennessee,Lake County,77.16,71.68
Tennessee,Lauderdale County,76.69,70.72
Tennessee,Lawrence County,77.96,72.99
Tennessee,Lewis County,78.61,72.05
Tennessee,Lincoln County,78.78,73.7
Tennessee,Loudon County,80.03,75.54
Tennessee,McMinn County,77.78,72.3
Tennessee,McNairy County,77.09,70.41
Tennessee,Macon County,78.16,69.95
Tennessee,Madison County,79.18,73.77
Tennessee,Marion County,78.2,71.45
Tennessee,Marshall County,77.79,72.47
Tennessee,Maury County,78.06,73.7
Tennessee,Meigs County,77.31,70.93
Tennessee,Monroe County,78.36,72.02
Tennessee,Montgomery County,77.7,74.01
Tennessee,Moore County,78.78,73.7
Tennessee,Morgan County,77.56,72.52
Tennessee,Obion County,77.16,71.68
Tennessee,Overton County,77.61,71.85
Tennessee,Perry County,77.73,72.01
Tennessee,Pickett County,77.61,71.85
Tennessee,Polk County,77.89,71.68
Tennessee,Putnam County,79.48,73.47
Tennessee,Rhea County,77.31,70.93
Tennessee,Roane County,78.31,72.37
Tennessee,Robertson County,77.75,73.69
Tennessee,Rutherford County,79.68,75.62
Tennessee,Scott County,76.45,72.07
Tennessee,Sequatchie County,78.12,73.53
Tennessee,Sevier County,79.28,72.56
Tennessee,Shelby County,78.07,72.47
Tennessee,Smith County,77.15,72.19
Tennessee,Stewart County,79.04,71.22
Tennessee,Sullivan County,78.77,73.68
Tennessee,Sumner County,79.92,75.07
Tennessee,Tipton County,76.99,73.46
Tennessee,Trousdale County,78.16,69.95
Tennessee,Unicoi County,78.11,72.89
Tennessee,Union County,78.72,71.95
Tennessee,Van Buren County,78.02,72.38
Tennessee,Warren County,77.53,71.99
Tennessee,Washington County,79.67,74.08
Tennessee,Wayne County,78.61,72.05
Tennessee,Weakley County,79.07,73.27
Tennessee,White County,78.02,72.38
Tennessee,Williamson County,83.4,79.3
Tennessee,Wilson County,80.31,75.15
Texas,Anderson County,77.52,71.65
Texas,Andrews County,78.36,74.73
Texas,Angelina County,77.53,72.58
Texas,Aransas County,79.68,72.52
Texas,Archer County,80.75,75.57
Texas,Armstrong County,80.33,75.25
Texas,Atascosa County,80.25,74.45
Texas,Austin County,80.64,76.07
Texas,Bailey County,78.61,73.68
Texas,Bandera County,82.23,77.45
Texas,Bastrop County,79.82,75.6
Texas,Baylor County,78.21,74.89
Texas,Bee County,78.78,73.94
Texas,Bell County,80.04,74.85
Texas,Bexar County,80.89,75.92
Texas,Blanco County,81.53,75.63
Texas,Borden County,78.54,72.6
Texas,Bosque County,79.61,74.81
Texas,Bowie County,78.41,72.4
Texas,Brazoria County,80.08,76.52
Texas,Brazos County,81.62,77.44
Texas,Brewster County,81.54,76.76
Texas,Briscoe County,80.33,75.25
Texas,Brooks County,79.47,72.44
Texas,Brown County,76.98,72.85
Texas,Burleson County,80.44,74.31
Texas,Burnet County,81.66,76.43
Texas,Caldwell County,79.59,75.59
Texas,Calhoun County,78.76,74.7
Texas,Callahan County,77.56,74.18
Texas,Cameron County,82.45,76.86
Texas,Camp County,77.99,72.41
Texas,Carson County,80.33,75.25
Texas,Cass County,77.38,72.24
Texas,Castro County,79.56,75.86
Texas,Chambers County,80.04,75.48
Texas,Cherokee County,78.19,73.54
Texas,Childress County,79.66,75.29
Texas,Clay County,77.27,73.89
Texas,Cochran County,78.61,73.68
Texas,Coke County,78.98,73.78
Texas,Coleman County,77.56,74.18
Texas,Collin County,83.12,79.55
Texas,Collingsworth County,78.32,72.3
Texas,Colorado County,79.46,75.28
Texas,Comal County,81.67,76.97
Texas,Comanche County,78.44,73.18
Texas,Concho County,79.67,75.07
Texas,Cooke County,79.77,74.36
Texas,Coryell County,79.1,75.04
Texas,Cottle County,79.59,73.83
Texas,Crane County,78.57,73.04
Texas,Crockett County,78.57,73.04
Texas,Crosby County,78.57,74.15
Texas,Culberson County,82.19,77.15
Texas,Dallam County,79.39,75.41
Texas,Dallas County,80.17,75.87
Texas,Dawson County,78.61,73.68
Texas,Deaf Smith County,79.16,73.71
Texas,Delta County,78.57,74.81
Texas,Denton County,81.92,78.42
Texas,DeWitt County,79.8,73.97
Texas,Dickens County,79.59,73.83
Texas,Dimmit County,79.39,74.01
Texas,Donley County,80.33,75.25
Texas,Duval County,79.47,72.44
Texas,Eastland County,78.44,73.18
Texas,Ector County,77.88,72.18
Texas,Edwards County,80.09,75.48
Texas,Ellis County,80.37,76.06
Texas,El Paso County,82.19,77.15
Texas,Erath County,79.98,76.09
Texas,Falls County,78.34,73.47
Texas,Fannin County,78.17,73.38
Texas,Fayette County,81.04,76.29
Texas,Fisher County,77.85,74.54
Texas,Floyd County,78.43,74.64
Texas,Foard County,79.59,73.83
Texas,Fort Bend County,82.35,79.44
Texas,Franklin County,78.57,74.81
Texas,Freestone County,79.42,74.54
Texas,Frio County,80.48,74.16
Texas,Gaines County,78.36,74.73
Texas,Galveston County,79.75,74.55
Texas,Garza County,78.81,74.19
Texas,Gillespie County,81.92,76.95
Texas,Glasscock County,80.82,74.84
Texas,Goliad County,79.83,74.92
Texas,Gonzales County,78.8,73.88
Texas,Gray County,78.32,72.3
Texas,Grayson County,79.09,73.03
Texas,Gregg County,77.23,72.64
Texas,Grimes County,78.32,73.68
Texas,Guadalupe County,81.47,76.5
Texas,Hale County,78.43,74.64
Texas,Hall County,79.66,75.29
Texas,Hamilton County,79.61,74.81
Texas,Hansford County,77.91,74.96
Texas,Hardeman County,79.66,75.29
Texas,Hardin County,78.89,73.71
Texas,Harris County,80.7,76.15
Texas,Harrison County,79.03,72.43
Texas,Hartley County,79.39,75.41
Texas,Haskell County,78.21,74.89
Texas,Hays County,81.3,77.56
Texas,Hemphill County,77.24,73.56
Texas,Henderson County,77.8,71.98
Texas,Hidalgo County,82.78,77.79
Texas,Hill County,78.66,73.87
Texas,Hockley County,78.57,74.15
Texas,Hood County,80.35,76.87
Texas,Hopkins County,79.48,73.9
Texas,Houston County,77.82,73.33
Texas,Howard County,78.54,72.6
Texas,Hudspeth County,82.19,77.15
Texas,Hunt County,78.17,72.83
Texas,Hutchinson County,77.24,73.56
Texas,Irion County,79.09,74.6
Texas,Jack County,80.75,75.57
Texas,Jackson County,79.79,73.96
Texas,Jasper County,78.41,72.35
Texas,Jeff Davis County,82.19,77.15
Texas,Jefferson County,78.7,72.9
Texas,Jim Hogg County,79.47,72.44
Texas,Jim Wells County,78.95,72.85
Texas,Johnson County,79.14,74.02
Texas,Jones County,77.85,74.54
Texas,Karnes County,78.8,73.88
Texas,Kaufman County,78.72,74.07
Texas,Kendall County,82.45,77.92
Texas,Kenedy County,79.45,74.78
Texas,Kent County,77.85,74.54
Texas,Kerr County,82.11,75.05
Texas,Kimble County,81.15,75.13
Texas,King County,79.59,73.83
Texas,Kinney County,81.26,75.42
Texas,Kleberg County,79.63,73.31
Texas,Knox County,78.21,74.89
Texas,Lamar County,77.41,72.53
Texas,Lamb County,78.8,74.01
Texas,Lampasas County,79.18,76.01
Texas,La Salle County,80.48,74.16
Texas,Lavaca County,81.82,76.33
Texas,Lee County,80.9,75.53
Texas,Leon County,79.46,73.47
Texas,Liberty County,76.65,71.63
Texas,Limestone County,77.32,72.4
Texas,Lipscomb County,77.24,73.56
Texas,Live Oak County,80.25,74.45
Texas,Llano County,81.53,75.63
Texas,Loving County,77.88,72.18
Texas,Lubbock County,78.24,74.19
Texas,Lynn County,78.57,74.15
Texas,McCulloch County,79.67,75.07
Texas,McLennan County,79.66,74.61
Texas,McMullen County,80.48,74.16
Texas,Madison County,78.68,73.21
Texas,Marion County,77.38,72.24
Texas,Martin County,78.54,72.6
Texas,Mason County,81.92,76.95
Texas,Matagorda County,79.4,74.23
Texas,Maverick County,81.26,75.42
Texas,Medina County,80.13,76.32
Texas,Menard County,81.92,76.95
Texas,Midland County,80.82,74.84
Texas,Milam County,79.2,74.34
Texas,Mills County,79.61,74.81
Texas,Mitchell County,78.26,72.83
Texas,Montague County,77.27,73.89
Texas,Montgomery County,80.9,76.19
Texas,Moore County,79.39,75.41
Texas,Morris County,77.99,72.41
Texas,Motley County,79.59,73.83
Texas,Nacogdoches County,77.64,72.59
Texas,Navarro County,78.32,73.46
Texas,Newton County,76.7,71.77
Texas,Nolan County,78.26,72.83
Texas,Nueces County,80.5,75.09
Texas,Ochiltree County,77.91,74.96
Texas,Oldham County,79.16,73.71
Texas,Orange County,76.36,71.26
Texas,Palo Pinto County,77.52,73.28
Texas,Panola County,78.28,73.29
Texas,Parker County,78.78,75.72
Texas,Parmer County,79.56,75.86
Texas,Pecos County,78.37,75.22
Texas,Polk County,76.55,70.16
Texas,Potter County,76.86,72.43
Texas,Presidio County,81.54,76.76
Texas,Rains County,79.48,73.9
Texas,Randall County,81.11,75.71
Texas,Reagan County,80.82,74.84
Texas,Real County,80.09,75.48
Texas,Red River County,78.97,72.13
Texas,Reeves County,78.37,75.22
Texas,Refugio County,79.83,74.92
Texas,Roberts County,77.24,73.56
Texas,Robertson County,78.68,73.21
Texas,Rockwall County,81.29,78.81
Texas,Runnels County,78.98,73.78
Texas,Rusk County,77.82,74.09
Texas,Sabine County,77.27,71.63
Texas,San Augustine County,77.27,71.63
Texas,San Jacinto County,77.98,71.9
Texas,San Patricio County,79.44,73.69
Texas,San Saba County,81.92,76.95
Texas,Schleicher County,79.67,75.07
Texas,Scurry County,78.81,74.19
Texas,Shackelford County,77.52,73.28
Texas,Shelby County,77.07,70.26
Texas,Sherman County,79.39,75.41
Texas,Smith County,79.58,74.81
Texas,Somervell County,79.98,76.09
Texas,Starr County,79.39,74.35
Texas,Stephens County,77.52,73.28
Texas,Sterling County,78.98,73.78
Texas,Stonewall County,77.85,74.54
Texas,Sutton County,81.15,75.13
Texas,Swisher County,80.33,75.25
Texas,Tarrant County,80.24,76.01
Texas,Taylor County,78.36,73.2
Texas,Terrell County,81.54,76.76
Texas,Terry County,78.61,73.68
Texas,Throckmorton County,78.21,74.89
Texas,Titus County,78.97,72.13
Texas,Tom Green County,79.09,74.6
Texas,Travis County,82.38,78.41
Texas,Trinity County,77.98,71.9
Texas,Tyler County,79.36,73.65
Texas,Upshur County,78.6,72.73
Texas,Upton County,78.57,73.04
Texas,Uvalde County,80.09,75.48
Texas,Val Verde County,81.15,75.13
Texas,Van Zandt County,77.49,73.03
Texas,Victoria County,79.81,74.79
Texas,Walker County,79.05,74.8
Texas,Waller County,79.72,74.69
Texas,Ward County,78.57,73.04
Texas,Washington County,80.98,76.41
Texas,Webb County,82.04,75.77
Texas,Wharton County,80.73,74.3
Texas,Wheeler County,78.32,72.3
Texas,Wichita County,77.21,72.91
Texas,Wilbarger County,79.59,73.83
Texas,Willacy County,79.45,74.78
Texas,Williamson County,82.67,79.91
Texas,Wilson County,81.08,76.2
Texas,Winkler County,77.88,72.18
Texas,Wise County,79.21,74.67
Texas,Wood County,78.76,73.45
Texas,Yoakum County,78.36,74.73
Texas,Young County,77.83,74.08
Texas,Zapata County,79.39,74.35
Texas,Zavala County,79.39,74.01
Utah,Beaver County,80.83,76.88
Utah,Box Elder County,80.97,77.74
Utah,Cache County,82.59,79.96
Utah,Carbon County,79.33,74.42
Utah,Daggett County,80.04,75.42
Utah,Davis County,82.35,79.06
Utah,Duchesne County,80.04,75.42
Utah,Emery County,79.63,75.84
Utah,Garfield County,80.83,76.88
Utah,Grand County,79.63,75.84
Utah,Iron County,79.71,76.7
Utah,Juab County,80.68,75.81
Utah,Kane County,80.65,76.3
Utah,Millard County,80.83,76.88
Utah,Morgan County,82.59,79.96
Utah,Piute County,80.83,76.88
Utah,Rich County,82.59,79.96
Utah,Salt Lake County,81.38,77.39
Utah,San Juan County,80.65,76.3
Utah,Sanpete County,80.68,75.81
Utah,Sevier County,79.92,75.75
Utah,Summit County,83.14,79.19
Utah,Tooele County,80.25,75.41
Utah,Uintah County,78.75,75.23
Utah,Utah County,82.28,79.03
Utah,Wasatch County,80.41,77.67
Utah,Washington County,83.08,78.55
Utah,Wayne County,79.92,75.75
Utah,Weber County,80.76,76.33
Vermont,Addison County,81.77,78.22
Vermont,Bennington County,81.08,76.43
Vermont,Caledonia County,81.45,76.56
Vermont,Chittenden County,83.08,79.01
Vermont,Essex County,81.02,75.81
Vermont,Franklin County,81.06,77.06
Vermont,Grand Isle County,81.06,77.06
Vermont,Lamoille County,81.19,77.24
Vermont,Orange County,82.3,77.23
Vermont,Orleans County,81.02,75.81
Vermont,Rutland County,80.43,76.1
Vermont,Washington County,81.27,77.41
Vermont,Windham County,81.17,75.92
Vermont,Windsor County,81.67,77.77
Virginia,Accomack County,78.17,71.95
Virginia,Albemarle County,82.41,79.14
Virginia,Alleghany Cnty and Clifton Forge Cty,78.22,73.38
Virginia,Amelia County,79.73,74.22
Virginia,Amherst County,79.06,73.38
Virginia,Appomattox County,79.72,73.88
Virginia,Arlington County,83.49,80.39
Virginia,Augusta County,80.71,77
Virginia,Bath County,80.71,77
Virginia,Bedford County,80.29,75.87
Virginia,Bland County,79.37,73.25
Virginia,Botetourt County,80.98,76.58
Virginia,Brunswick County,77.51,70.91
Virginia,Buchanan County,76.75,69.62
Virginia,Buckingham County,77.89,74.4
Virginia,Campbell County,80.33,75.42
Virginia,Caroline County,79.52,74.06
Virginia,Carroll County,79.27,73.76
Virginia,Charles City County,78.64,72.33
Virginia,Charlotte County,77.65,72.92
Virginia,Chesterfield County,81.6,77.65
Virginia,Clarke County,78.72,75.34
Virginia,Craig County,78.22,73.38
Virginia,Culpeper County,80.58,76.12
Virginia,Cumberland County,79.73,74.22
Virginia,Dickenson County,76.92,70.72
Virginia,Dinwiddie County,79.14,73.46
Virginia,Essex County,79.73,74.54
Virginia,Fairfax County,84.52,81.67
Virginia,Fauquier County,80.62,76.53
Virginia,Floyd County,80.79,75.04
Virginia,Fluvanna County,81.47,77.01
Virginia,Franklin County,80.33,75.56
Virginia,Frederick County,81.41,77.03
Virginia,Giles County,79.37,73.25
Virginia,Gloucester County,79.62,75.37
Virginia,Goochland County,81.09,77.94
Virginia,Grayson County,78,73.68
Virginia,Greene County,80.71,76.5
Virginia,Greensville County,76.17,71.64
Virginia,Halifax County with South Boston City,78.81,71.63
Virginia,Hanover County,81.53,77.52
Virginia,Henrico County,81.05,76.81
Virginia,Henry County,77.78,71.4
Virginia,Highland County,80.71,77
Virginia,Isle of Wight County,79.31,74.68
Virginia,James City County,82.77,78.66
Virginia,King and Queen County,79.27,74.77
Virginia,King George County,79.71,76.19
Virginia,King William County,79.27,74.77
Virginia,Lancaster County,79.08,74.41
Virginia,Lee County,77.98,71.4
Virginia,Loudoun County,84.16,81
Virginia,Louisa County,80.92,75.67
Virginia,Lunenburg County,77.65,72.92
Virginia,Madison County,80.71,76.5
Virginia,Mathews County,79.62,75.37
Virginia,Mecklenburg County,78.21,72.92
Virginia,Middlesex County,79.73,74.54
Virginia,Montgomery County,80.68,76.21
Virginia,Nelson County,79.72,73.88
Virginia,New Kent County,82.77,78.66
Virginia,Northampton County,78.17,71.95
Virginia,Northumberland County,79.92,74.62
Virginia,Nottoway County,77.56,73.62
Virginia,Orange County,79.69,76.14
Virginia,Page County,79.85,73.81
Virginia,Patrick County,80.79,75.04
Virginia,Pittsylvania County,80.03,73.34
Virginia,Powhatan County,80.9,76.92
Virginia,Prince Edward County,78.93,73.15
Virginia,Prince George County,80.04,76.53
Virginia,Prince William County,82.29,78.67
Virginia,Pulaski County,78.52,72.56
Virginia,Rappahannock County,79.85,73.81
Virginia,Richmond County,79.08,74.41
Virginia,Roanoke County,81.07,76.96
Virginia,Rockbridge County,80.54,76.3
Virginia,Rockingham County,82.28,76.98
Virginia,Russell County,77.81,71.28
Virginia,Scott County,77.91,72.73
Virginia,Shenandoah County,80.34,75.98
Virginia,Smyth County,76.92,72.08
Virginia,Southampton County,78.64,72.33
Virginia,Spotsylvania County,80.6,76.52
Virginia,Stafford County,81.19,77.45
Virginia,Surry County,78.64,72.33
Virginia,Sussex County,76.17,71.64
Virginia,Tazewell County,76.01,69.19
Virginia,Warren County,78.72,75.34
Virginia,Washington County,79.52,74.55
Virginia,Westmoreland County,79.92,74.62
Virginia,Wise County,77.42,72.67
Virginia,Wythe County,78.73,73.35
Virginia,York County,82.24,78.85
Virginia,Alexandria City,82.46,78.49
Virginia,Bedford City,80.29,75.87
Virginia,Bristol City,78.96,73.51
Virginia,Buena Vista City,80.54,76.3
Virginia,Charlottesville City,79.79,74.34
Virginia,Chesapeake City,80.29,75.74
Virginia,Colonial Heights City,79.87,75.27
Virginia,Covington City,78.22,73.38
Virginia,Danville City,77.08,69.62
Virginia,Emporia City,76.17,71.64
Virginia,Fairfax City,81.34,76.29
Virginia,Falls Church City,83.49,80.39
Virginia,Franklin City,79.31,74.68
Virginia,Fredericksburg City,79.2,73.28
Virginia,Galax City,78,73.68
Virginia,Hampton City,79.67,73.37
Virginia,Harrisonburg City,80.32,75.81
Virginia,Hopewell City,76.62,70.58
Virginia,Lexington City,80.54,76.3
Virginia,Lynchburg City,79.07,74.93
Virginia,Manassas City,80.82,76.53
Virginia,Manassas Park City,80.82,76.53
Virginia,Martinsville City,77.78,71.4
Virginia,Newport News City,79.34,73.9
Virginia,Norfolk City,77.38,72.69
Virginia,Norton City,77.42,72.67
Virginia,Petersburg City,73.69,67.79
Virginia,Poquoson City,82.24,78.85
Virginia,Portsmouth City,77.03,71.42
Virginia,Radford City,78.92,74.47
Virginia,Richmond City,76.93,71.31
Virginia,Roanoke City,77.25,70.75
Virginia,Salem City,80.1,73.92
Virginia,Staunton City,79.46,74.01
Virginia,Suffolk City,78.46,74.49
Virginia,Virginia Beach City,81.38,77.39
Virginia,Waynesboro City,77.89,73.61
Virginia,Williamsburg City,82.77,78.66
Virginia,Winchester City,78.77,73.93
Washington,Adams County,79.65,74.78
Washington,Asotin County,81.64,76.16
Washington,Benton County,81.42,77.45
Washington,Chelan County,82.09,78.2
Washington,Clallam County,81.37,75.44
Washington,Clark County,81.17,77.86
Washington,Columbia County,82.2,77.49
Washington,Cowlitz County,79.5,74.89
Washington,Douglas County,81.13,77.33
Washington,Ferry County,80.44,76.56
Washington,Franklin County,80.67,77.12
Washington,Garfield County,82.2,77.49
Washington,Grant County,80.7,75.84
Washington,Grays Harbor County,78.9,73.93
Washington,Island County,82.93,79.85
Washington,Jefferson County,81.93,78.53
Washington,King County,83.29,79.32
Washington,Kitsap County,80.76,77.3
Washington,Kittitas County,81.95,77.58
Washington,Klickitat County,82.24,77.68
Washington,Lewis County,80.49,75.8
Washington,Lincoln County,80.44,76.56
Washington,Mason County,80.97,76.52
Washington,Okanogan County,80.63,74.53
Washington,Pacific County,79.39,75.36
Washington,Pend Oreille County,80.25,75.61
Washington,Pierce County,80.3,76.2
Washington,San Juan County,81.58,77.92
Washington,Skagit County,80.69,77.34
Washington,Skamania County,82.24,77.68
Washington,Snohomish County,81.58,77.92
Washington,Spokane County,80.32,76.56
Washington,Stevens County,80.25,75.61
Washington,Thurston County,81.64,78.13
Washington,Wahkiakum County,79.39,75.36
Washington,Walla Walla County,80.98,76.76
Washington,Whatcom County,83.12,78.55
Washington,Whitman County,82.2,77.49
Washington,Yakima County,80.19,75.03
West Virginia,Barbour County,78.45,73.82
West Virginia,Berkeley County,78.77,74.05
West Virginia,Boone County,75.89,68.83
West Virginia,Braxton County,77.93,73.32
West Virginia,Brooke County,78.61,73.8
West Virginia,Cabell County,78.02,70.96
West Virginia,Calhoun County,78.4,73.67
West Virginia,Clay County,77.93,73.32
West Virginia,Doddridge County,78.02,74.63
West Virginia,Fayette County,75.79,70.02
West Virginia,Gilmer County,78.4,73.67
West Virginia,Grant County,80.24,74.69
West Virginia,Greenbrier County,77.04,73.83
West Virginia,Hampshire County,79.64,73.68
West Virginia,Hancock County,79.68,74.01
West Virginia,Hardy County,80.24,74.69
West Virginia,Harrison County,78.37,73.09
West Virginia,Jackson County,78.81,73.99
West Virginia,Jefferson County,78.87,74.91
West Virginia,Kanawha County,77.77,71.37
West Virginia,Lewis County,77.27,72.42
West Virginia,Lincoln County,76.11,70.24
West Virginia,Logan County,74.5,68.89
West Virginia,McDowell County,72.9,63.9
West Virginia,Marion County,78.9,74.51
West Virginia,Marshall County,79.2,74.96
West Virginia,Mason County,77.87,71.49
West Virginia,Mercer County,76.97,69.39
West Virginia,Mineral County,79.74,73.18
West Virginia,Mingo County,73.92,67.26
West Virginia,Monongalia County,80.99,76.05
West Virginia,Monroe County,79.91,71.16
West Virginia,Morgan County,79.65,74.18
West Virginia,Nicholas County,78.42,71.27
West Virginia,Ohio County,79.74,74.1
West Virginia,Pendleton County,79.63,74.97
West Virginia,Pleasants County,78,74.27
West Virginia,Pocahontas County,79.63,74.97
West Virginia,Preston County,79.62,75.48
West Virginia,Putnam County,79.92,75.25
West Virginia,Raleigh County,76.29,71.03
West Virginia,Randolph County,79.12,75.04
West Virginia,Ritchie County,78,74.27
West Virginia,Roane County,78.93,72.18
West Virginia,Summers County,79.91,71.16
West Virginia,Taylor County,78.83,73.38
West Virginia,Tucker County,78.45,73.82
West Virginia,Tyler County,78.02,74.63
West Virginia,Upshur County,79.04,74.36
West Virginia,Wayne County,77.6,72.31
West Virginia,Webster County,77.27,72.42
West Virginia,Wetzel County,78.28,73.82
West Virginia,Wirt County,78.93,72.18
West Virginia,Wood County,78.39,73.87
West Virginia,Wyoming County,74.79,67.47
Wisconsin,Adams County,81.46,75.26
Wisconsin,Ashland County,79.74,75.64
Wisconsin,Barron County,81.45,77.43
Wisconsin,Bayfield County,80.41,77.16
Wisconsin,Brown County,82.79,78.51
Wisconsin,Buffalo County,81.28,78.67
Wisconsin,Burnett County,81.89,77.4
Wisconsin,Calumet County,82.71,78.95
Wisconsin,Chippewa County,81.77,77.9
Wisconsin,Clark County,81.37,76.5
Wisconsin,Columbia County,81.53,77.09
Wisconsin,Crawford County,81.02,76.97
Wisconsin,Dane County,83.19,79.24
Wisconsin,Dodge County,80.89,76.33
Wisconsin,Door County,82.78,78.13
Wisconsin,Douglas County,80.72,75.88
Wisconsin,Dunn County,82.63,77.84
Wisconsin,Eau Claire County,82.61,78.29
Wisconsin,Florence County,80.37,76.13
Wisconsin,Fond du Lac County,82.12,77.6
Wisconsin,Forest County,80.37,76.13
Wisconsin,Grant County,80.37,77.3
Wisconsin,Green County,81.52,77.17
Wisconsin,Green Lake County,81.48,77.08
Wisconsin,Iowa County,81.5,77.2
Wisconsin,Iron County,81.01,77.16
Wisconsin,Jackson County,81.85,76.99
Wisconsin,Jefferson County,81.64,77.05
Wisconsin,Juneau County,79.89,76.45
Wisconsin,Kenosha County,80.59,75.54
Wisconsin,Kewaunee County,82.26,78.81
Wisconsin,La Crosse County,82.21,77.65
Wisconsin,Lafayette County,81.31,77.65
Wisconsin,Langlade County,81.31,75.02
Wisconsin,Lincoln County,81.71,76.44
Wisconsin,Manitowoc County,81.72,77.36
Wisconsin,Marathon County,82.62,77.43
Wisconsin,Marinette County,82.28,76.66
Wisconsin,Marquette County,81.04,75.24
Wisconsin,Menominee County,81.31,75.02
Wisconsin,Milwaukee County,79.64,74.23
Wisconsin,Monroe County,81.23,75.48
Wisconsin,Oconto County,80.71,77.13
Wisconsin,Oneida County,81.22,76.48
Wisconsin,Outagamie County,82.6,77.94
Wisconsin,Ozaukee County,83.18,79.09
Wisconsin,Pepin County,81.28,78.67
Wisconsin,Pierce County,83.26,77.86
Wisconsin,Polk County,81.44,77.41
Wisconsin,Portage County,82.77,78.33
Wisconsin,Price County,81.01,77.16
Wisconsin,Racine County,80.85,76.54
Wisconsin,Richland County,81.64,78.24
Wisconsin,Rock County,80.7,76.23
Wisconsin,Rusk County,80.75,76.31
Wisconsin,St. Croix County,82.4,78.27
Wisconsin,Sauk County,81.84,76.73
Wisconsin,Sawyer County,80.49,75.7
Wisconsin,Shawano County,82.02,76.93
Wisconsin,Sheboygan County,82.36,77.47
Wisconsin,Taylor County,81.69,76.51
Wisconsin,Trempealeau County,81.75,76.6
Wisconsin,Vernon County,81.42,76.96
Wisconsin,Vilas County,81.79,77.27
Wisconsin,Walworth County,81.28,77.78
Wisconsin,Washburn County,81.51,75.26
Wisconsin,Washington County,82.06,78.89
Wisconsin,Waukesha County,82.81,79.02
Wisconsin,Waupaca County,80.68,74.42
Wisconsin,Waushara County,81.72,76.28
Wisconsin,Winnebago County,81.79,76.98
Wisconsin,Wood County,82.32,77.32
Wyoming,Albany County,81.7,77.7
Wyoming,Big Horn County,79.26,75.91
Wyoming,Campbell County,78.84,74.48
Wyoming,Carbon County,79.77,75.9
Wyoming,Converse County,80.65,77.86
Wyoming,Crook County,78.84,74.48
Wyoming,Fremont County,78.36,72.79
Wyoming,Goshen County,80.7,76.9
Wyoming,Hot Springs County,81.23,78.17
Wyoming,Johnson County,80.7,75.78
Wyoming,Laramie County,80.21,74.97
Wyoming,Lincoln County,82.14,77.91
Wyoming,Natrona County,79.03,74.97
Wyoming,Niobrara County,80.7,76.9
Wyoming,Park County,81.23,78.17
Wyoming,Platte County,80.65,77.86
Wyoming,Sheridan County,80.7,75.78
Wyoming,Sublette County,82.14,77.91
Wyoming,Sweetwater County,81.3,75.51
Wyoming,Teton County,83.29,80.93
Wyoming,Uinta County,79.87,74.83
Wyoming,Washakie County,79.26,75.91
Wyoming,Weston County,78.84,74.48
